run,sampling_method,threads,stop_mode,number_of_samples,time_to_completion_s,returncode,cmd
3,EBE,16,precision,163200870,44.530,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t16 -mf -sEBE -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
3,NBE,1,num_samples,90000000,1671.680,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t1 -mf -sNBE -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
3,NBE,1,precision,163200870,3052.475,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t1 -mf -sNBE -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
3,NBE,2,num_samples,90000000,859.604,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t2 -mf -sNBE -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
3,NBE,2,precision,163200870,1772.450,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t2 -mf -sNBE -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
3,NBE,4,num_samples,90000000,538.066,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t4 -mf -sNBE -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
3,NBE,4,precision,163200870,955.840,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t4 -mf -sNBE -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
3,NBE,8,num_samples,90000000,296.583,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t8 -mf -sNBE -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
3,NBE,8,precision,163200870,626.922,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t8 -mf -sNBE -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
3,NBE,16,num_samples,90000000,199.525,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t16 -mf -sNBE -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
3,NBE,16,precision,163200870,414.965,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t16 -mf -sNBE -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
1,MCMC,1,num_samples,90000000,209.855,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t1 -mf -sMCMC -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
1,MCMC,1,precision,163200870,393.990,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t1 -mf -sMCMC -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
1,MCMC,2,num_samples,90000000,128.466,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t2 -mf -sMCMC -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
1,MCMC,2,precision,163200870,248.549,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t2 -mf -sMCMC -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
1,MCMC,4,num_samples,90000000,73.527,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t4 -mf -sMCMC -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
1,MCMC,4,precision,163200870,140.430,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t4 -mf -sMCMC -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
1,MCMC,8,num_samples,90000000,45.908,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t8 -mf -sMCMC -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
1,MCMC,8,precision,163200870,92.157,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t8 -mf -sMCMC -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
1,MCMC,16,num_samples,90000000,41.986,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t16 -mf -sMCMC -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
1,MCMC,16,precision,163200870,77.561,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t16 -mf -sMCMC -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
2,MCMC,1,num_samples,90000000,208.507,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t1 -mf -sMCMC -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
2,MCMC,1,precision,163200870,393.720,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t1 -mf -sMCMC -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
2,MCMC,2,num_samples,90000000,127.757,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t2 -mf -sMCMC -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
2,MCMC,2,precision,163200870,246.693,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t2 -mf -sMCMC -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
2,MCMC,4,num_samples,90000000,72.857,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t4 -mf -sMCMC -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
2,MCMC,4,precision,163200870,140.264,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t4 -mf -sMCMC -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
2,MCMC,8,num_samples,90000000,46.083,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t8 -mf -sMCMC -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
2,MCMC,8,precision,163200870,91.878,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t8 -mf -sMCMC -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
2,MCMC,16,num_samples,90000000,42.212,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t16 -mf -sMCMC -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
2,MCMC,16,precision,163200870,79.886,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t16 -mf -sMCMC -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
3,MCMC,1,num_samples,90000000,210.127,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t1 -mf -sMCMC -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
3,MCMC,1,precision,163200870,393.567,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t1 -mf -sMCMC -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
3,MCMC,2,num_samples,90000000,127.380,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t2 -mf -sMCMC -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
3,MCMC,2,precision,163200870,248.118,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t2 -mf -sMCMC -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
3,MCMC,4,num_samples,90000000,73.946,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t4 -mf -sMCMC -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
3,MCMC,4,precision,163200870,139.869,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t4 -mf -sMCMC -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
3,MCMC,8,num_samples,90000000,46.014,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t8 -mf -sMCMC -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
3,MCMC,8,precision,163200870,92.246,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t8 -mf -sMCMC -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
3,MCMC,16,num_samples,90000000,41.899,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t16 -mf -sMCMC -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
3,MCMC,16,precision,163200870,80.171,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t16 -mf -sMCMC -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
