run,sampling_method,threads,stop_mode,number_of_samples,time_to_completion_s,returncode,cmd
2,NBE,64,num_samples,90000000,19.938,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t64 -mf -sNBE -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
2,NBE,64,precision,1632010149,411.405,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t64 -mf -sNBE -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
2,NBE,128,num_samples,90000000,14.156,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t128 -mf -sNBE -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
2,NBE,128,precision,1632010149,288.227,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t128 -mf -sNBE -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
2,MCMC,1,num_samples,90000000,84.917,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t1 -mf -sMCMC -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
2,MCMC,1,precision,1632010149,1552.448,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t1 -mf -sMCMC -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
2,MCMC,2,num_samples,90000000,62.851,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t2 -mf -sMCMC -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
2,MCMC,2,precision,1632010149,1183.300,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t2 -mf -sMCMC -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
2,MCMC,4,num_samples,90000000,39.796,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t4 -mf -sMCMC -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
2,MCMC,4,precision,1632010149,873.814,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t4 -mf -sMCMC -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
2,MCMC,8,num_samples,90000000,34.877,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t8 -mf -sMCMC -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
2,MCMC,8,precision,1632010149,449.594,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t8 -mf -sMCMC -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
2,MCMC,16,num_samples,90000000,33.139,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t16 -mf -sMCMC -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
2,MCMC,16,precision,1632010149,355.131,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t16 -mf -sMCMC -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
2,MCMC,32,num_samples,90000000,25.633,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t32 -mf -sMCMC -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
2,MCMC,32,precision,1632010149,256.120,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t32 -mf -sMCMC -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
2,MCMC,64,num_samples,90000000,20.301,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t64 -mf -sMCMC -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
2,MCMC,64,precision,1632010149,223.864,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t64 -mf -sMCMC -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
2,MCMC,128,num_samples,90000000,14.913,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t128 -mf -sMCMC -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
2,MCMC,128,precision,1632010149,229.123,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t128 -mf -sMCMC -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
3,EBE,1,num_samples,90000000,92.840,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t1 -mf -sEBE -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
3,EBE,1,precision,1632010149,1706.724,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t1 -mf -sEBE -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
3,EBE,2,num_samples,90000000,56.747,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t2 -mf -sEBE -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
3,EBE,2,precision,1632010149,1101.617,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t2 -mf -sEBE -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
3,EBE,4,num_samples,90000000,30.286,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t4 -mf -sEBE -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
3,EBE,4,precision,1632010149,758.603,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t4 -mf -sEBE -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
3,EBE,8,num_samples,90000000,16.481,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t8 -mf -sEBE -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
3,EBE,8,precision,1632010149,315.152,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t8 -mf -sEBE -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
3,EBE,16,num_samples,90000000,14.335,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t16 -mf -sEBE -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
3,EBE,16,precision,1632010149,233.935,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t16 -mf -sEBE -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
3,EBE,32,num_samples,90000000,10.868,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t32 -mf -sEBE -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
3,EBE,32,precision,1632010149,196.354,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t32 -mf -sEBE -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
3,EBE,64,num_samples,90000000,6.329,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t64 -mf -sEBE -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
3,EBE,64,precision,1632010149,116.128,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t64 -mf -sEBE -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
